activity,time,lat,long,activity_id
Walking, 1576136359.7389998, 430574316493775.2, -84056943810889.52, 16
Walking, 1576136363.044, 430580327436531.06, -84072191817975.86, 16
Walking, 1576136374.0270002, 430582262436531.1, -84072191817975.86, 16
Walking, 1576136384.026, 430581513779383.94, -84073608285712.16, 16
Walking, 1576136404.012, 430581630215696.2, -84071658728849.1, 16
Walking, 1576136424.115, 430584488115696.2, -84071658728849.1, 16
Walking, 1576136444.03, 430585614315696.25, -84071658728849.1, 16
Walking, 1576136464.033, 430655551215696.25, -84071658728849.1, 16
Walking, 1576136474.019, 430664044616975.25, -84061071316250.84, 16
Walking, 1576136484.092, 430664054001236.5, -84059711382876.98, 16
Walking, 1576136494.022, 430615669882347.5, -84087478053413.83, 16
Walking, 1576136504.008, 430615713789748.75, -84085533873660.48, 16
Walking, 1576136514.081, 430615716032917.8, -84087595668102.22, 16
Walking, 1576136533.0229998, 430615735765678.56, -84083942512883.28, 16
Walking, 1576136544.039, 430615789146678.75, -84082744485250.05, 16
Walking, 1576136554.079, 430615982046678.75, -84082744485250.05, 16
Walking, 1576136573.144, 430616055138864.94, -84079371822741.38, 16
Walking, 1576136583.075, 430615943968898.44, -84080869026101.44, 16
Walking, 1576136584.0679998, 430623245168898.44, -84080869026101.44, 16
Walking, 1576136593.005, 430618152650686.7, -84083376748966.89, 16
